Parameter	set1	set2	set3	set4	set5	set6	set7	set8
r41	1.856	0.3341	0.3861	0.6126	2.295	1.034	9.883	2.965
f1	0.06021	0.409	0.1273	0.4442	0.4195	0.09476	0.3549	0.04486
f2	0.02732	2.021	0.01001	0.01015	0.02322	0.07358	7.587	2.726
f3	0.2654	0.03313	4.774	48.57	1.886	6.904	0.01097	3.993
f4	0.2687	0.1	0.1848	5.627	0.1	0.187	0.6628	1.854
f5	0.2899	0.3853	0.2802	0.4432	0.353	0.2547	0.2058	0.4459
f6	0.08977	0.2525	0.03518	0.08095	1.744	0.0169	0.09316	0.2516
t5	0.2518	1.103	1.484	0.6334	3.107	6.618	0.5109	0.1847
t6	0.112	0.5891	0.6062	1.099	2.985	1.76	0.2073	0.9535
t7	3.772	0.2317	13.31	0.1221	0.2228	0.3602	0.6104	3.268
t8	28.34	0.1472	1.198	3.449	0.1286	0.5261	0.1402	2.619
t9	2.543	0.8543	1.947	0.9492	0.1006	1.171	3.011	3.302
m1	0.6127	0.996	0.7966	0.6529	0.4437	0.6407	0.5032	0.7201
m3	0.6154	0.5889	0.472	0.6059	0.5981	0.5305	0.3759	0.4505
m4	0.4322	0.3761	0.4737	0.5013	0.5489	0.5424	0.4513	0.5409
m5	1.869	2.3	0.5026	0.9276	0.8059	0.6966	0.5001	0.961
m6	0.451	0.0133	0.1935	0.05858	2.764	0.03575	0.01039	0.01
m7	1.277	0.6487	0.6006	0.6056	0.6031	0.7777	0.7167	0.6031
m8	0.1	5.437	3.417	5.527	2.369	2.336	4.77	0.5255
m9	0.1886	0.1225	0.3288	0.2881	0.07189	0.1356	0.01001	0.03257
m10	0.01001	0.01001	0.01	0.01087	0.2276	0.01072	3.854	0.2368
m11	0.7611	0.6771	0.6066	0.7547	1.042	1.191	0.5066	0.8838
m12	2.57	1.988	2.987	2.085	1.146	2.72	1.726	1.597
m13	0.6654	0.376	0.6748	0.2103	0.3006	0.6107	0.2658	0.2214
m14	0.5015	4.916	0.5044	3.482	0.5081	0.5002	0.6408	0.5017
m15	0.1791	0.09303	0.1774	0.2039	0.241	0.2177	0.2261	0.1897
m16	0.5383	0.5828	0.4082	0.6494	2.579	2.917	1.366	0.2781
m17	0.07499	0.04744	0.108	0.1645	0.1993	0.1999	0.07084	0.1023
m18	4.505	2.426	1.549	2.13	2.219	1.41	1.211	1.192
m22	0.3007	0.3012	0.3003	0.3006	0.3002	2.409	0.3835	0.4269
m23	0.08544	0.1764	0.09547	0.1197	0.0651	0.03943	0.08041	0.07392
m24	1.5	2.848	4.21	1.874	2.577	5.882	1.152	7.667
m25	0.6526	0.4176	0.2553	0.4625	0.08625	0.3877	0.1015	0.0686
m26	1.032	1.57	0.7937	0.8424	1.04	0.3001	0.7549	0.6028
m28	0.0382	0.02757	0.02349	0.4466	7.57	8.143	9.986	1.737
m29	0.01001	0.01	0.01	0.05984	0.168	0.01032	0.01	0.03227
m30	4.949	5.491	3.84	5.204	7.242	1.795	9.875	3.856
m32	9.998	5.681	6.275	8.609	6.993	3.588	9.996	5.083
m34	0.1561	0.1115	0.2087	0.8513	0.2252	0.1086	0.1061	0.1566
m35	0.9413	0.9188	1.184	6.928	6.751	1.56	0.7253	5.421
m36	0.506	0.5711	0.5108	0.5072	0.502	9.773	0.5003	0.5017
m37	0.01001	0.9391	0.03945	0.01014	0.6989	2.776	0.03128	0.01007
m38	1.774	7.975	0.07585	25.38	9.964	44.21	0.2389	0.1916
m39	0.2001	0.216	0.2012	0.2854	0.2021	1.619	0.202	0.447
m42	0.9229	0.3759	0.2279	0.456	0.1023	0.09626	0.3508	0.3184
m43	1.139	0.5214	0.03266	0.05359	0.07754	0.06792	0.02179	0.001505
m44	0.6769	0.3577	0.4285	1.443	4.363	0.3769	0.4726	0.4493
m45	0.8039	0.7944	9.998	1.633	5.051	0.8805	6.154	8.512
m46	5.273	0.7541	0.9665	0.8438	0.7331	0.5034	0.7004	2.599
m47	0.2466	0.1293	0.1668	0.1838	0.2269	0.1458	0.2496	0.2389
p11	1.912	1.78	0.6623	0.684	3.208	0.4549	1.356	1.939
p16	0.1211	0.4024	0.1647	0.2261	0.1254	0.3022	0.1949	0.1181
p23	1.011	1.461	3.951	14.66	5.237	29.92	11.17	29.93
p25	1.003	1.111	1.004	1.213	4.415	4.268	4.768	1.017
p28	1.061	2.13	1.187	1.622	8.092	1.104	1.66	3.725
p29	10.18	25.2	5.827	23.91	3.122	19.15	3.93	5.9
q1	0.2607	0.1217	0.5518	0.3	0.9744	1.543	1.358	0.5445
q3	0.4659	0.2873	0.312	1.13	1.225	1.666	9.682	2.453
